title,title_original,title_english,title_japanese,merged_titles,n_entries_merged,synopsis,genres,themes,score,episodes,aired,studios,composer,composer_source_url,features,mood,mood_method,imdb_review_url,artwork,mal_id,mal_url,artwork_url,mal_title_matched,mal_match_score
Hidamari Sketch: Sae & Hiro Graduation,Hidamari Sketch: Sae Hiro Sotsugyou-hen,Hidamari Sketch: Sae & Hiro Graduation,ひだまりスケッチ 沙英ヒロ 卒業編,Hidamari Sketch: Sae Hiro Sotsugyou-hen,1,"The day has come for Sae and Hiro to graduate, who are now in their last days as High School students. The first episode centers on the final exams and the university entrance tests, while the second episode centers on the graduation of Sae and Hiro.",Slice of Life,CGDCT | Iyashikei | School | Visual Arts,8.11,2,2013,Shaft,,,,"Notable for: iyashikei, cute girls doing cute things, female protagonist, seinen, school",AniList review synthesis,,,17739,https://myanimelist.net/anime/17739,https://myanimelist.net/images/anime/1913/146300l.jpg,Hidamari Sketch: Sae Hiro Sotsugyou-hen,1.0
Haikyuu!! the Movie: The Winner and the Loser,Haikyuu!! Movie 2: Shousha to Haisha,Haikyuu!! the Movie: The Winner and the Loser,ハイキュー!! 勝者と敗者,Haikyuu!! Movie 2: Shousha to Haisha,1,"The Inter-High has finally arrived for Karasuno High School's volleyball team. Their opponent at the tournament is Date Tech High School—the team that crushed Karasuno the year prior. The loss brings back anxiety and fear for the team's second- and third-years as they were unable to overcome Date's ""read block."" With the dynamic freshmen duo Shouyou Hinata and Tobio Kageyama on their side, will Karasuno be able to overcome their past and break through the iron wall?  Awaiting Karasuno in the next round is the elite Aoba Jousai High School, led by the cunning captain Tooru Oikawa. Coming from the same middle school as Kageyama, Oikawa is a talented and unpredictable setter with a grudge against his former teammate. It is a battle between genius setters to decide who will continue on in the Inter-High.  [Written by MAL Rewrite]",Sports | Shounen,School | Team Sports,8.11,1,2015,Production I.G,"Yuuki Hayashi, Asami Tachibana",,,"Notable for: volleyball, school club, school, shounen, primarily male cast",AniList review synthesis,,,30364,https://myanimelist.net/anime/30364,https://myanimelist.net/images/anime/2/74813l.jpg,Haikyuu!! Movie 2: Shousha to Haisha,1.0
Haikyu!! the Movie: The End and the Beginning,Haikyuu!! Movie 1: Owari to Hajimari,Haikyu!! the Movie: The End and the Beginning,ハイキュー!! 終わりと始まり,Haikyuu!! Movie 1: Owari to Hajimari,1,"After watching a volleyball match on TV where the ""Little Giant"" of Karasuno High School helps his team secure a hard-fought victory, young and impressionable Shouyou Hinata begins to play the sport in hopes that he too can soar high one day. Now enrolled at the same school as his idol, he attempts to join the volleyball team despite his short stature. Unfortunately, upon his arrival, Hinata locks eyes with ""King of the Court"" Tobio Kageyama—a genius setter whom he had once suffered a bitter defeat to in middle school.  Their unfriendly introduction and subsequent rivalry forces the rest of the Karasuno team to bar both of them from joining the club until they can learn to work together as teammates. Though reluctant to cooperate, their desire to play volleyball causes them to return with a proposal that will show the other members that they are capable of teamwork. As the two freshmen form an odd setter-and-ace relationship, an old rival school invites Karasuno for practice matches, reigniting competition between the two schools once more.  [Written by MAL Rewrite]",Sports | Shounen,School | Team Sports,8.11,1,2015,Production I.G,"Yuuki Hayashi, Asami Tachibana",,,"Notable for: volleyball, shounen, school club, primarily male cast, male protagonist",AniList review synthesis,,,29755,https://myanimelist.net/anime/29755,https://myanimelist.net/images/anime/8/76011l.jpg,Haikyuu!! Movie 1: Owari to Hajimari,1.0
One Piece: Episode of Nami - Tears of a Navigator and the Bonds of Friends,One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,One Piece: Episode of Nami - Tears of a Navigator and the Bonds of Friends,ワンピースエピソード・オブ・ナミ～航海士の涙と仲間の絆～,One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,1,"Nami betrays the Straw Hat crew and steals their ship and treasures, escaping to Arlong Park. Luffy and his crew follow her, only to come face to face with the infamous pirate Arlong, a ruthless fish-man who has taken over Nami's home island with force and Naval bribes. As opinions clash and the Straw Hats attempt to convince Nami to rejoin the team, her true motivation behind the deception will be revealed at last.   [Written by MAL Rewrite]",Action | Adventure | Fantasy | Shounen,,8.11,1,2012,Toei Animation,,,,"Notable for: shounen, pirates, super power, ships, guns",AniList review synthesis,,,15323,https://myanimelist.net/anime/15323,https://myanimelist.net/images/anime/5/41415l.jpg,One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,1.0
JoJo's Bizarre Adventure: Stardust Crusaders,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,JoJo's Bizarre Adventure: Stardust Crusaders,ジョジョの奇妙な冒険 スターダストクルセイダース,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,1,"Years after an ancient evil was salvaged from the depths of the sea, Joutarou Kuujou sits peacefully within a Japanese jail cell. He's committed no crime yet demands he not be released, believing he's been possessed by an evil spirit capable of harming those around him. Concerned for her son, Holy Kuujou asks her father, Joseph Joestar, to convince Joutarou to leave the prison. Joseph informs his grandson that the ""evil spirit"" is in fact something called a ""Stand,"" the physical manifestation of one's fighting spirit which can adopt a variety of deadly forms. After a fiery brawl with Joseph's friend Muhammad Avdol, Joutarou is forced out of his cell and begins learning how to control the power of his Stand.  However, when a Stand awakens within Holy and threatens to consume her in 50 days, Joutarou, his grandfather, and their allies must seek out and destroy the immortal vampire responsible for her condition. They must travel halfway across the world to Cairo, Egypt and along the way, do battle with ferocious Stand users set on thwarting them. If Joutarou and his allies fail in their mission, humanity is destined for a grim fate.  [Written by MAL Rewrite]",Action | Adventure | Shounen,Super Power,8.11,24,2014,David Production,Yuugo Kanno,,,"Amazing, perfect — viewers describe it as bisexual posses 17 yo's mom which puts together a group of stand users to travel to Egypt and take this vamp down",AniList review synthesis,,,20899,https://myanimelist.net/anime/20899,https://myanimelist.net/images/anime/11/55267l.jpg,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,1.0
Detective Conan Movie 14: The Lost Ship in the Sky,Meitantei Conan Movie 14: Tenkuu no Lost Ship,Detective Conan Movie 14: The Lost Ship in the Sky,名探偵コナン 天空の難破船,Meitantei Conan Movie 14: Tenkuu no Lost Ship,1,"One night, the Tokyo National Institute of Microorganisms is attacked by a mysterious organization calling themselves the ""Red Siamese Cats."" The group causes the explosion of a high-security lab storing a virus—said to have a mortality rate of 80% with no known cure. This act of terror dominates the headlines, overshadowing the unveiling of the world's biggest airship developed under Jirokichi Suzuki. Peculiarly, the unveiling has a note attached for Kaito ""Kaitou Kid"" Kuroba, challenging him to steal the jewel on display—the illustrious Lady Sky.  Conan Edogawa is permitted to board the airship along with Kogorou Mouri, Ran Mouri, Sonoko Suzuki, Professor Agasa, and the Detective Boys. However, their fun comes to a halt when an unknown caller contacts Jirokichi and declares that they have released a certain virus in the smoking room. Soon after, symptoms begin to appear among the passengers and chaos ensues. Seizing the opportunity, the Red Siamese Cats suddenly appear and hijack the airship!   To stop the assailants, Conan and Kaitou Kid, along with their allies, must work together to decipher the clues and discover the Red Siamese Cats' real objective before time runs out.  [Written by MAL Rewrite]",Action | Mystery | Shounen,Detective,8.11,1,2010,"Tokyo Movie Shinsha, TMS Entertainment",Katsuo Ono,,,"Notable for: police, shounen, male protagonist, detective, terrorism",AniList review synthesis,,,6467,https://myanimelist.net/anime/6467,https://myanimelist.net/images/anime/7/22312l.jpg,Meitantei Conan Movie 14: Tenkuu no Lost Ship,1.0
Hinamatsuri,Hinamatsuri,Hinamatsuri,ヒナまつり,Hinamatsuri,1,"While reveling in the successful clinching of a prized vase for his collection, Yoshifumi Nitta, a yakuza member, is rudely interrupted when a large, peculiar capsule suddenly materializes and falls on his head. He opens the capsule to reveal a young, blue-haired girl, who doesn't divulge anything about herself but her name—Hina—and the fact that she possesses immense powers. As if things couldn't get any worse, she loses control and unleashes an explosion if her powers remain unused. Faced with no other choice, Nitta finds himself becoming her caregiver.   To let her use her powers freely, Nitta asks Hina to help out with a construction deal, which goes smoothly. But while this is happening, a rival yakuza group covertly attacks his boss. To Nitta's shock, his colleagues later pin the blame on him! Tasked with attacking the rival group in retaliation, Nitta steels himself and arrives at their hideout. But suddenly, Hina unexpectedly steps in and helps him wipe out the entire group. As it turns out, Hina might just become a valuable asset to Nitta and his yakuza business, provided she does not use her powers on him first! And so the strange life of this unusual duo begins.  [Written by MAL Rewrite]",Comedy | Seinen,Childcare | Organized Crime | Super Power,8.11,12,2018,feel.,Yasuhiro Misawa,,,"Funniest, excellent — viewers describe it as this is by far the funniest anime I have EVER seen",AniList review synthesis,,,36296,https://myanimelist.net/anime/36296,https://myanimelist.net/images/anime/1580/93526l.jpg,Hinamatsuri,1.0
The Disastrous Life of Saiki K.: Reawakened,Saiki Kusuo no Ψ-nan: Ψ-shidou-hen,The Disastrous Life of Saiki K.: Reawakened,斉木楠雄のΨ難 Ψ始動編,Saiki Kusuo no Ψ-nan: Ψ-shidou-hen,1,"Kusuo Saiki is a high school student who possesses a wide range of psychic abilities. While many may believe these abilities to be a gift, to Kusuo, they are a curse as he must fight strange odds in order to try to live a normal life. Forced to use his psychic powers to protect his secret or to make up for his father's incompetence at work, will Saiki eventually come to realize how his powers can actually help his friends and family?  [Written by MAL Rewrite]",Comedy | Shounen,Gag Humor | School | Super Power,8.11,6,2019,"J.C.Staff, Egg Firm",PSYCHIC LOVER,,,"Notable for: super power, surreal comedy, male protagonist, school, parody",AniList review synthesis,,,40542,https://myanimelist.net/anime/40542,https://myanimelist.net/images/anime/1993/119022l.jpg,Saiki Kusuo no Ψ-nan: Ψ-shidou-hen,1.0
Saint Seiya: The Lost Canvas 2,Saint Seiya: The Lost Canvas - Meiou Shinwa 2,Saint Seiya: The Lost Canvas 2,聖闘士星矢 THE LOST CANVAS 冥王神話 2,Saint Seiya: The Lost Canvas - Meiou Shinwa 2,1,The sequel to Saint Seiya: The Lost Canvas - Meiou Shinwa.,Action | Adventure | Fantasy | Shounen,Historical | Mythology,8.11,13,2011,TMS Entertainment,Kaoru Wada,,,Epic — viewers describe it as lost Canvas is Epic - How a prequel should be made,AniList review synthesis,,,9130,https://myanimelist.net/anime/9130,https://myanimelist.net/images/anime/12/29597l.jpg,Saint Seiya: The Lost Canvas - Meiou Shinwa 2,1.0
given The Movie,Given Movie 1,given The Movie,映画 ギヴン,Given Movie 1,1,"The band ""given""—comprised of Ritsuka Uenoyama, Mafuyu Satou, Haruki Nakayama, and Akihiko Kaji—has advanced to the final screening of the Countdown-fes Amateur Contest, in which they will be judged on their live act. Although enthusiastic, they worry about having only one original song to perform.  Mafuyu embraces the idea of learning more about music in order to create new, emotionally resonant songs. In this regard, he unexpectedly receives help from Ugetsu Murata, Akihiko's on-again, off-again lover. Ugetsu has unsuccessfully tried to let go of Akihiko, who himself is torn between lingering feelings for his past and an uncertain resolve for the future.  As the competition draws near, Haruki uncharacteristically begins to doubt his place in the band and the trust he shares with Akihiko. It is a given that not all attachments last forever, but it remains to be seen what can be salvaged from the ruins of heartbreak—or if only regrets will endure.  [Written by MAL Rewrite]",Boys Love | Drama,Music,8.11,1,2020,Lerche,Michiru,,,"— viewers describe it as despite its major flaw, the Given movie does a fantastic job at accurately portraying relationship dynamics and emotion",AniList review synthesis,,,40421,https://myanimelist.net/anime/40421,https://myanimelist.net/images/anime/1648/111422l.jpg,Given Movie 1,1.0
Princess Jellyfish,Kuragehime,Princess Jellyfish,海月姫,Kuragehime,1,"Ever since her late mother took her to an aquarium when she was young, Tsukimi Kurashita has been obsessed with jellyfish, comparing their flowing tentacles to a princess's white dress. Now living with five other unemployed otaku women, 19-year-old Tsukimi spends her days as a social outcast dreaming of becoming an illustrator.  However, her life changes forever when one day, a beautiful woman unexpectedly helps her save a jellyfish in a local pet store. From then on, the stranger—confident, fashionable, and the complete opposite of Tsukimi and her roommates—begins to regularly visit the girls' building. This trendy hipster, though appearing shallow at first, harbors some secrets of her own, starting with the fact that ""she"" isn't really a girl at all, but a wealthy male college student named Kuranosuke Koibuchi!  [Written by MAL Rewrite]",Comedy | Josei,Adult Cast | Crossdressing | Visual Arts,8.11,11,2010,Brain's Base,Makoto Yoshimori,,,"Wholesome, beautifully, beautiful — viewers describe it as princess Jellyfish is a wholesome, beautifully awkward series",AniList review synthesis,,,8129,https://myanimelist.net/anime/8129,https://myanimelist.net/images/anime/1764/133575l.jpg,Kuragehime,1.0
Ace of Diamond,Diamond no Ace,Ace of Diamond,ダイヤのA[エース],Diamond no Ace,1,"With a stray pitch that completely missed the batter, Eijun Sawamura loses his final middle school baseball game. Frustrated by this defeat, Eijun and his teammates vow to reach the national tournament once they are in high school. But everything changes when a scout unexpectedly invites him to Tokyo's prestigious Seidou High School after seeing the potential in his unusual pitching style. Encouraged by his teammates, Eijun accepts the offer, ready to improve his skills and play at a much more competitive level of baseball.  However, now surrounded by a large number of skilled players, Eijun struggles to find his place on the team. He declares that he will one day become the team's ace, but that's only if fellow first year Satoru Furuya doesn't take the title first, with his breakneck fastballs that earn him a coveted spot on the starting roster. With the addition of these talented new players to an already powerful lineup, the Seidou baseball team aims to become the best in Japan, facing off against a number of formidable foes that stand in their way.  [Written by MAL Rewrite]",Sports | Shounen,School | Team Sports,8.11,75,2013,"Production I.G, Madhouse",,,,"Suspense — viewers describe it as un anime de sport génial avec du suspense, de la pression et un peu de comédie",AniList review synthesis,,,18689,https://myanimelist.net/anime/18689,https://myanimelist.net/images/anime/5/54235l.jpg,Diamond no Ace,1.0
Initial D Fifth Stage,Initial D Fifth Stage,,頭文字 D Fifth Stage,Initial D Fifth Stage,1,"After earning a series of difficult victories in the prefectures of Tochigi, Saitama, and Ibaraki, the drivers of Project D—an amateur street driving group led by ex-street driver and expert tactician Ryousuke Takahashi—Takumi Fujiwara and Keisuke Takahashi now have to take Project D to the next level: the Kanagawa prefecture, commonly known as the holy land of street racing. Their opponents, members of the three best street racing teams of Kanagawa, design an elaborate strategy called the ""Four Lines of Defense"" to put a definitive end to the ambitions of Project D.  Meanwhile, Takumi feels he needs to refine his driving skills to overcome the last victory against Toshiya Joushima that he only just managed to snatch. The moment of truth has now come for Project D, which carries with it the hopes of the Gunma Prefecture; will they manage to thwart the surprising tactics of the skilled street racers of Kanagawa?  [Written by MAL Rewrite]",Action | Drama | Seinen,Racing,8.11,14,2012,SynergySP,Franz Peter Schubert,,,"Notable for: cars, rural, cgi, male protagonist, primarily male cast",AniList review synthesis,,,15059,https://myanimelist.net/anime/15059,https://myanimelist.net/images/anime/1563/119898l.jpg,Initial D Fifth Stage,1.0
Zombieland Saga Movie: Yumeginga Paradise,Zombieland Saga Movie: Yumeginga Paradise,,劇場版『ゾンビランドサガ ゆめぎんがパラダイス』,Zombieland Saga Movie: Yumeginga Paradise,1,,Comedy | Supernatural,Idols (Female) | Music | Parody,8.11,1,2025,MAPPA,Yasuharu Takanashi,,,"Notable for: idol, zombie, aliens, female protagonist, ensemble cast",AniList review synthesis,,,50159,https://myanimelist.net/anime/50159,https://myanimelist.net/images/anime/1552/151187l.jpg,Zombieland Saga Movie: Yumeginga Paradise,1.0
Future Boy Conan,Mirai Shounen Conan,Future Boy Conan,未来少年コナン,Mirai Shounen Conan,1,"Conan was the only child born on Remnant Island, a place settled by a group of refugees while they fled a terrifying wave of magnetic bombs that wiped out most of humanity. After 20 years, most of the castaways have died, save for Conan and the wise old man that raised him.  Believing Remnant Island to be the last inhabited place on Earth, Conan is shocked when he discovers a young girl named Lana washed up on the beach one day. Though he is thrilled to learn that humanity has survived, Lana tells him the nation of Industria wants her as a hostage to force her grandfather, Dr. Lao, to power their machinery. Their conversation is cut short when Industria's top pilot, Monsley, suddenly appears and seizes Lana. Determined to save her, Conan immediately sets off from Remnant Island and begins a journey that will ultimately determine the fate of the world.   [Written by MAL Rewrite]",Adventure | Drama | Sci-Fi,,8.11,26,1978,Nippon Animation,,,,Epic — viewers describe it as my indisputed favorite,AniList review synthesis,,,302,https://myanimelist.net/anime/302,https://myanimelist.net/images/anime/6/17529l.jpg,Mirai Shounen Conan,1.0
Gankutsuou: The Count of Monte Cristo,Gankutsuou,Gankutsuou: The Count of Monte Cristo,巌窟王,Gankutsuou,1,"In the year 5053, French aristocrats Viscount Albert de Morcerf and Baron Franz d'Epinay attend the festival of Carnival on the moon city of Luna. While Franz is just looking to have fun, Albert is seeking something more to fill his life—but he finds more than he bargained for in The Count of Monte Cristo, a mysterious and charming self-made nobleman who meets his gaze during an opera performance.   Through a few twists and turns, Albert befriends the Count and introduces him into French society. The Count, however, has more on his mind than just friendship; he plots to finally unleash his vengeance on those who wronged him years earlier. Gankutsuou follows Albert and the Count's intertwined destinies and the ultimate price paid for enacting revenge.  [Written by MAL Rewrite]",Award Winning | Drama | Mystery | Sci-Fi | Supernatural | Suspense,,8.11,24,2004,Gonzo,"Frédéric Chopin, Domenico Gaetano Maria Donizetti, Kouji Kasamatsu",,,"— viewers describe it as i'll be honest, I like it more than the book",AniList review synthesis,,,239,https://myanimelist.net/anime/239,https://myanimelist.net/images/anime/1910/138560l.jpg,Gankutsuou,1.0
Skip and Loafer,Skip to Loafer,Skip and Loafer,スキップとローファー,Skip to Loafer,1,"In order to pursue her dream of bringing positive changes to Japan, Mitsumi Iwakura leaves her countryside town to attend a prestigious high school in the hustle and bustle of Tokyo. As she has already mapped a clear life plan, she has absolute confidence that there will be zero mishaps from then onwards.  Despite her ambitious promise, the country girl ends up running late on the first day when she gets lost on her way to school. Fortunately, she meets a fellow first-year student, Sousuke Shima, who is in the same situation and offers to go with her. They eventually make it to school, but the misfortunes do not end there, as Mitsumi leaves an unfavorable first impression in front of her classmates.  Nevertheless, the class soon takes notice of her friendship with Sousuke despite their opposing personalities. Only time will tell whether Mitsumi will be able to forge fruitful relationships with her classmates, and she will certainly not be alone.  [Written by MAL Rewrite]",Drama | Seinen,School,8.11,12,2023,P.A. Works,Takatsugu Wakabayashi,,,— viewers describe it as where slice of life truly succeeds; in realness rather than archetypes,AniList review synthesis,,,50416,https://myanimelist.net/anime/50416,https://myanimelist.net/images/anime/1518/138730l.jpg,Skip to Loafer,1.0
Food Wars! Shokugeki no Soma,Shokugeki no Souma,Food Wars! Shokugeki no Soma,食戟のソーマ,Shokugeki no Souma,1,"Souma Yukihira has been cooking alongside his father Jouichirou for as long as he can remember. As a sous chef at his father's restaurant, he has spent years developing his culinary expertise and inventing new dishes to amaze their customers. He aspires to exceed his father's skill and take over the restaurant one day, but he is shocked to learn that Jouichirou is closing up the shop to take a job in New York.  Rather than tagging along with his father, Souma finds himself enrolling at the prestigious Tootsuki Culinary Academy, where only 10 percent of its students end up graduating. The school is famous for its ""Shokugeki""—intense cooking competitions between students often used to settle debates and arguments. Jouichirou tells Souma that to surpass him and survive the next three years at Tootsuki and graduate there.  The academy's brutal curriculum and fiercely competitive student body await the young chef, who must learn to navigate the treacherous environment if he wants to stand a chance at realizing his dreams. But is skill alone enough to let him rise to the top?  [Written by MAL Rewrite]",Gourmet | Ecchi | Shounen,School,8.11,24,2015,J.C.Staff,Tatsuya Katou,,,"Funny — viewers describe it as don’t watch it, if you are hungry",AniList review synthesis,,,28171,https://myanimelist.net/anime/28171,https://myanimelist.net/images/anime/1444/148976l.jpg,Shokugeki no Souma,1.0
Spy x Family Code: White,Spy x Family Movie: Code: White,Spy x Family Code: White,SPY×FAMILY CODE: White,Spy x Family Movie: Code: White,1,"Loid Forger, an elite spy, is warned by his handler that he may potentially be reassigned from his ongoing mission, Operation Strix. To maintain his position, he must make significant progress toward the operation's objectives, which involves having his adoptive daughter Anya earn sufficient Stella Stars to become an Imperial Scholar at Eden Academy.  After learning of a cooking contest that awards the winning student with a Stella Star, Loid researches the judge's preferred dessert to help increase Anya's odds. However, perfectly recreating the judge's favorite meremere requires more than just following a recipe. Thus, the Forgers embark on a vacation to the Frigis region to try an authentic meremere. Not all goes smoothly on the trip, as the Forger family ends up entwined in a sinister plot to reignite war between the countries of Ostania and Westalis.  [Written by MAL Rewrite]",Action | Comedy | Shounen,Childcare | Super Power,8.1,1,2023,"Wit Studio, CloverWorks",(K)NoW_NAME,,,Fun — viewers describe it as easily one of my new favorite anime franchise films,AniList review synthesis,,,53888,https://myanimelist.net/anime/53888,https://myanimelist.net/images/anime/1426/139388l.jpg,Spy x Family Movie: Code: White,1.0
Buddy Daddies,Buddy Daddies,,Buddy Daddies,Buddy Daddies,1,"On Christmas Eve, four-year-old Miri Unasaka arrives in Tokyo completely alone, in search of her father. The bright lights and merry atmosphere guide Miri to a big hotel and a man with a delicious-looking cake. However, the child has just unknowingly walked into the center of an elaborate, foolproof plan for assassinating a dangerous mafia boss.  Professional assassins Kazuki Kurusu and Rei Suwa live together, fleeing memories of their grim childhoods and avoiding emotional connections. When their mission goes awry and they end up bringing Miri home, there is only one reasonable thing to do: return Miri to her mother. But the girl's innocent laugh and pure worldview quickly enamor her to Kazuki, who secretly enjoys playing a parent, and it is not long before Rei's impenetrable heart makes room for Miri.  Miri's every move is unpredictable, and Kazuki and Rei find raising an energetic child harder than any of their missions. Although it presents a great risk to their careers, Kazuki and Rei—both assuming the affectionate nickname ""papa""—decide to provide Miri with a normal childhood despite all the odds stacked against them.  [Written by MAL Rewrite]",Action | Comedy,Childcare | Organized Crime,8.1,12,2023,P.A. Works,Katsutoshi Kitagawa,,,— viewers describe it as possibly the cutest found family show on the market,AniList review synthesis,,,53411,https://myanimelist.net/anime/53411,https://myanimelist.net/images/anime/1553/133767l.jpg,Buddy Daddies,1.0
Tsurune - The Linking Shot -,Tsurune: Tsunagari no Issha,Tsurune - The Linking Shot -,ツルネ ―つながりの一射―,Tsurune: Tsunagari no Issha,1,"Despite the prefectural tournament's breathtaking conclusion, the Kazemai High School Kyudo Club has no time to celebrate. With the national competition right around the corner, the club is determined to prove that their initial victory was not a mere fluke.  With his passion for the sport reignited, Minato Narumiya earnestly prepares for the upcoming competition with his teammates, who are equally motivated to win. As the much-anticipated tournament begins, the members of Kazemai's kyudo team fight to stay on target with their ambitious goal. But when old acquaintances reappear as difficult opponents, the boys find that winning the nationals will require more dedication and effort than ever before.  [Written by MAL Rewrite]",Sports,School,8.1,13,2023,Kyoto Animation,Masaru Yokoyama,,,"high-energy sports, school setting — Despite the prefectural tournament's breathtaking conclusion, the Kazemai High School Kyudo Club has no time to celebrate.",genre/theme synthesis,,,52826,https://myanimelist.net/anime/52826,https://myanimelist.net/images/anime/1803/132337l.jpg,Tsurune: Tsunagari no Issha,1.0
Yona of the Dawn OVA,Akatsuki no Yona OVA,Yona of the Dawn OVA,暁のヨナ,Akatsuki no Yona OVA,1,"Sono Se ni wa At a remote hot springs lodge, Yona and the team rest. The boys are taking a bath with the exception of Ki-ja, who looks troubled. Jae-ha takes this chance to tease him, unwittingly finding a mark linked to the previous White Dragon—whom coincidentally is also Ki-ja's father—prompting Ki-ja to recall their complicated relationship.  Kou Ryuu Zeno Kako-hen In another time and place, Son Hak and the dragons banter as they hold a drinking contest. As they start to doze off one-by-one, Zeno dreams of his past, where his abilities and experiences, both as a person and as the Yellow Dragon, are revealed.  [Written by MAL Rewrite]",Adventure | Fantasy | Shoujo,,8.1,3,2015,Studio Pierrot,Kunihiko Ryo,,,"adventurous, fantastical, shoujo — Sono Se ni wa At a remote hot springs lodge, Yona and the team rest.",genre/theme synthesis,,,30370,https://myanimelist.net/anime/30370,https://myanimelist.net/images/anime/8/75974l.jpg,Akatsuki no Yona OVA,1.0
Ghost in the Shell: Stand Alone Complex - Solid State Society,Koukaku Kidoutai: Stand Alone Complex - Solid State Society,Ghost in the Shell: Stand Alone Complex - Solid State Society,攻殻機動隊 STAND ALONE COMPLEX Solid State Society,Koukaku Kidoutai: Stand Alone Complex - Solid State Society,1,"A.D. 2034. It has been two years since Motoko Kusanagi left Section 9. Togusa is now the new leader of the team, that has considerably increased its appointed personnel. The expanded new Section 9 confronts a rash of complicated incidents, and investigations reveal that an ultra-wizard hacker named the Puppeteer is behind the entire series of events.  In the midst of all, Batou, who was stalking the case on a separate track, encounters Motoko. She goes away after saying, ""Stay away from the Solid State Society."" Batou is left with a doubt in his mind. Could Motoko be the Puppeteer?  The series of intriguing incidents that Section 9 faces gradually link together almost artistically. Who is the Puppeteer? What will happen to Batou's relationship with Motoko? What is the full truth behind this carefully planned perfect crime? And what will the outcome be? Mysteries surround the Solid State Society...  (Source: Production I.G.)",Award Winning | Mystery | Sci-Fi | Seinen,Adult Cast | Detective | Mecha | Military,8.1,1,2006,Production I.G,Yoko Kanno,,,"mysterious, science fiction, mature seinen, mecha-driven — A.D.",genre/theme synthesis,,,1566,https://myanimelist.net/anime/1566,https://myanimelist.net/images/anime/3/85128l.jpg,Koukaku Kidoutai: Stand Alone Complex - Solid State Society,1.0
One Piece Film: Z,One Piece Film: Z,One Piece Film: Z,ワンピース　フィルム　﻿Ｚ,One Piece Film: Z,1,"The Straw Hat Pirates enter the rough seas of the New World in search of the hidden treasures of the Pirate King, Gol D. Roger－One Piece. On their voyage, the pirates come across a terrifying, powerful man, former Marine Admiral Z.  Z is accused of having stolen the ""Dyna Stones"", weapons believed to have the power to shake up the New World. The Marine Headquarters believes Z is about to use it to end the pirate era, and with it, the lives of many innocent people. In fear of such a phenomenal event, marines start to take action against the former admiral.  Even if it means stumbling upon marines and the navy, the Straw Hat Pirates decided to chase after Z and stop him from causing havoc. As they continue to embark on their ventures, the pirates bump into new and familiar acquaintances.",Action | Adventure | Fantasy | Shounen,,8.1,1,2012,Toei Animation,,,,"action-packed, adventurous, fantastical, shounen energy — The Straw Hat Pirates enter the rough seas of the New World in search of the hidden treasures of the Pirate King, Gol D.",genre/theme synthesis,,,12859,https://myanimelist.net/anime/12859,https://myanimelist.net/images/anime/6/44297l.jpg,One Piece Film: Z,1.0
Serial Experiments Lain,Serial Experiments Lain,Serial Experiments Lain,シリアルエクスペリメンツレイン,Serial Experiments Lain,1,"Lain Iwakura, an awkward and introverted fourteen-year-old, is one of the many girls from her school to receive a disturbing email from her classmate Chisa Yomoda—the very same Chisa who recently committed suicide. Lain has neither the desire nor the experience to handle even basic technology; yet, when the technophobe opens the email, it leads her straight into the Wired, a virtual world of communication networks similar to what we know as the internet. Lain's life is turned upside down as she begins to encounter cryptic mysteries one after another. Strange men called the Men in Black begin to appear wherever she goes, asking her questions and somehow knowing more about her than even she herself knows. With the boundaries between reality and cyberspace rapidly blurring, Lain is plunged into more surreal and bizarre events where identity, consciousness, and perception are concepts that take on new meanings.  Written by Chiaki J. Konaka, whose other works include Texhnolyze, Serial Experiments Lain is a psychological avant-garde mystery series that follows Lain as she makes crucial choices that will affect both the real world and the Wired. In closing one world and opening another, only Lain will realize the significance of their presence.  [Written by MAL Rewrite]",Avant Garde | Award Winning | Drama | Mystery | Sci-Fi | Supernatural | Suspense,Psychological,8.1,13,1998,Triangle Staff,Reichi Nakaido,,,"emotionally resonant, mysterious, science fiction, supernatural",genre/theme synthesis,,,339,https://myanimelist.net/anime/339,https://myanimelist.net/images/anime/1718/91550l.jpg,Serial Experiments Lain,1.0
